Name,Employees
Café Bulgakov,44
Via Restaurant,1
La Cina Restaurant,24
The Doner Place,0
UBB Casa Universitarilor,Table Not Found
Karolina Augusta,7
Divino Porcello,Row Not Found
Shanghai Express,56
Bistro 1568,21
Olivo Bistro,1
Souper,0
Culina Nostra Catering an Events,0
Subway,0
Bujole,Table Not Found
Nuka Bistro,Row Not Found
Rhédey Café,24
Che Guevara Social Pub,1
Mama Manu,5
Manger,22
Kiddy Store,11
Da Camel Club,79
Klausen Burger,76
Muura Steak House,Table Not Found
Da Pino,206
Pizza Piemonte,5
Joben Experience Bar,0
Luvaria,22
California Burger,7
Makeba,14
Gandhi,56
Pasta la Vista,2
Old Shepherd,2
Marco Polo Restaurant,0
Snack & Coffee,Table Not Found
Gente Senior,2
wEBSite Bistro,21
Casa Maramureșeană,3
Salad Box,9
Shenyang,0
Victor. Fresh to go,1
Colin's Gastro Pub,10
Livada - Cluj,0
Restaurant Confort,45
Polo Restaurant,22
Pizza Rex,Table Not Found
Mac Lewy Delivery,0
Baracca,13
Euphoria Biergarten,242
Napoca 15,1
Irish & Music Pub,13
Indigo,0
Restaurant Shanghai,56
Bistro Capriccio,Row Not Found
Napoli Centrale,21
Hugo City,4
Jaxx,0
Roata,48
Caro,1
Maimuța Plângătoare,30
McDonald's,Table Not Found
Hotel Beta,Table Not Found
Pizzeria Delir,45
Dashi Japanese,1
Rosa Piața Gării,12
VTE Service,1
Plăcinte Ardeleneşti,Table Not Found
Carmangeria Moldovan,313
Papa Land,0
Mama Manu,5
Claro,2
Restaurant Autoservire,22
Pralina,0
Decebal House,1
Pancake House,7
La Casa,206
La Soldăței,Row Not Found
Papabox Cluj,1
Casa Boema,50
Cimbru Restaurant,34
Restaurant,22
Strelitzia Sală de Evenimente - Restaurant Cluj,0
PIZZA CRUNCHY,Row Not Found
TopMix Food,0
Gelu Covrigelu',2
Oncos,566
Risto Madness House,1
Pizza89,12
Sushi Experience.,1
RADITA,0
La Ovidiu,Table Not Found
Casa Toto,206
Tasty,0
Cimbru Focaccerie,1
Ucraina Food,22
Mastro impasta,1
Vagabundos Place,0
Stradale Someșului,0
Pizzerie,206
BlackBurger,Row Not Found
SERVUS The M. Experience,1
Poco Loco,0
Rochelle Restaurant & Pub,0
Servus The M. Experience,1
La Ciuperca,0
Fresh pizza Cluj,3
Sushi Point,1
Findi,11
Alex & George Boutique Hotel,40
Hotel Olimp,0
dafo,2
Apropo Bistro,21
Mama Manu,5
Subway,0
Buena Vista,Table Not Found
Salad Box,9
Restaurant Rod,6
City Pizza,Row Not Found
Bistro Napoca,1
Papanash,13
Pasta La Vista Zorilor,2
Crama Haiducilor,Table Not Found
London Brothers Cluj,2
Wei Ramen,22
PIADINA fresco.urbano,0
Freschissima,Row Not Found
Fit and Healthy by London Brothers,Row Not Found
Golden Burgers,Row Not Found
Beefy Boys,1
Crispy Store Zorilor,0
MATES PUB,40
Talisman,Row Not Found
Marty Sports & Grill,40
La Badea Fast-Food,Table Not Found
Lunch time,3
Jabbar Kebab House,1
White Lotus,9
20 Pizza,206
Boo.bburger,1
Pizzeria-trattoria D'autore,45
Raio Pizza Delivery Cluj,2
Pizzeria 191,Table Not Found
Profi Super,"9,944"
Apartament 1,Table Not Found
Transilvania Events Hall,1
Marhaba,Row Not Found
METROPOLITAN CATERING CLUJ,1
Pizzeria Azzurro,1
Magic Sushi,15
Vibe Fusion & Restaurant Sushi Cluj,1
Perla Restaurant,0
D'Jamon,1
Leroy Hamburger Store,15
Cantina UMF Iuliu Hațieganu,Table Not Found
Restaurant Soggiorno,7
Restaurant Family,6
Univers (T),49
Pizza Hut,643
Marty City,40
Salad Box,9
Spartan,Table Not Found
KFC,"3,959"
Profi Super,"9,944"
Carmangeria Moldovan,313
Darius Pizza,Row Not Found
Mythai,40
G&D Top Design,10
Shanghai Express,56
Oana’s Kitchen,3
Elysium Seamoss,1
Delice Waffle,29
Stazione Pizza,1
Lunchbox Iulius,76
Taco Bell,2
SushiVO,1
Roua,1
NORDSEE,Row Not Found
Bussola,Row Not Found
PIADINA fresco.urbano,0
Yep'n Yo - Iulius Mall,2
Mado,171
Potatoes' Delight,0
Freschissima,Row Not Found
Cartofisserie Iulius Mall,Table Not Found
Subway,0
Cheesy Pasta,21
McDonald's,Table Not Found
Wasabi Running Sushi,15
Treevi Pizza Al Taglio - Iulius Mall Cluj,2
Gust Restaurant - Iulius Mall,Row Not Found
Rigatoni Pasta Bar,40
Chopstix - Cluj,4
Vagabundos Food Truck,1
Noodle Pack,454
Paprika,16
FRYDAY,0
Marty sky garden,40
ukyo.brunch,12
Taverna Racilor,91
Trattoria de Florian,Table Not Found
Dopamine,1
Rachel's Filipino Food,12
MOTIKO ICE CREAM,6
Iconic Garden,0
TapPoint,49
Halal food truck,0
Profi City,"9,944"
Wild Chef,0
ȚaraMea-StreetFood,12
Rosa,12
Berrak Kebab Restaurant,13
La Oblon,0
Cantina Dimitrie Cantemir,293
Pizzeria - Trattoria Seba,Table Not Found
Trib Foodtruck,Table Not Found
GRAM Bistro&Brunch Bar,15
Cofetăria Dulce,2
Daniel Berar,11
Profi Standard,"9,944"
Shanghai Express,56
La Șes,22
Nobori,0
Restaurant & Terasă Winners Sports Club,0
McDonald's,Table Not Found
Dacilor House,6
Delissima Simigerie,48
Pizza Delivery Cluj Da Bobby,133
Restaurant Phoenix,Row Not Found
Buzz Food Spot,1
Căsuța Bunicii,Row Not Found
"Buzz Food Spot ""Flora""",Table Not Found
Respiro Restaurant,0
KIBO by Personal Cook,1
MEATinc zazen,Row Not Found
HUMA Bistro,21
Buddy Foodtruck,0
MEATinc.,Row Not Found
Placeri Nevinovate,Row Not Found
Wingman,0
Crispyteria Terrace,0
Restaurant Sun,0
Profi City New,"9,944"
BGT-Crepes,3
Profi Super,"9,944"
Profi City New,"9,944"
Mama Manu,5
Pizzeria Toskana Restaurant,29
Engels District,15
Rosa,12
Autoservire Fortuna,Row Not Found
Restaurant Studențesc,22
Pralina,0
Mama Manu BIG,1
JDV Chocolate,Row Not Found
La Mezza Luna,0
